review,Improvement Suggestions,Questions and Answers,Experience Sharing,Technical Feedback,Support Request,Community Interaction,Course Comparison,Related Course Suggestions,not_praise
"Its one of the hardest more joyful courses I have taken. I suffered so much with the so well designed exams, but that pushds me to study harder and read more. I enjoyed it very much and I think the better way to say THANKS to Dr. Noor is dont give up and keep trying.",0.0,0,1,0,0,0.0,0,0,0
"I learned some important concepts, but all of the material was repeated many times. If the redundancy of information were eliminated, imagine how much more students of this course could learn!",1.0,0,0,0,0,0.0,0,0,1
"Great place to start ML! I wish Numpy was used instead of Octave. Ive heard people say this is an easy course. Well, when you think of exercises, the solutions are usually just a few lines of cod. But in my opinion, the challenge is to understand each concept so well that you can explain it to an ML neophyte.Important advice: Do ask/answer questions on the forum. Id definitely recommend visiting the forum when stuck.At the end, I just want to thank Professor Ng and his wonderful staff. I hope to see you guys start an advanced ML course soon.!",0.0,0,0,0,0,1.0,0,0,0
"I did this course as a parent of a dyslexic child. I thought it was brilliant and I made pages and pages of notes. It is well organised, engaging, and informative. I really liked the two presenters as well. They both seemed passionate about the topic and modeled good teaching in their explanations and advice. That said, I thought the assessment part of the course simply didnt work. It was far too narrow for anyone besides primary teachers and therefore excluded those who might be doing the course for other reasons. It doesnt matter to me, I dont need the certificate and I got a lot out of the course but for others it would be frustrating, I imagine. The quizzes too, for the most part, were a disaster. They were poorly written, confusing, and dishearteningly obscure. Otherwise, I loved this course and hope you will offer a follow up soon.",0.0,0,1,0,0,0.0,0,0,0
"I was so excited for this course, but IT failed miserably. I am a complete newbie, I didnt know one thing about IoT before engaging in this course. I gave it one star due to actually learning a small something IN SPITE of the fact the prof is extremely inarticulate. The course is extremely short and vague. There was no care in detail or discussion or presentation. Theres no forum to ask questions or to even start or engage in a discussion.",0.0,0,0,0,0,0.0,0,0,1
"One of, if not the best MOOC I have taken",0.0,0,1,0,0,0.0,0,0,0
"This is NOT a beginners course. There is not enough coverage of fundamental programming concepts, and too much playing around with complex application concepts such as Steganography. Simple image manipulation is a good way to teach programming concepts. Teaching bit arithmetic in a first programming course is NOT. Also, there are many errors in the videos that should be corrected. And finally, this course is advertised as requiring 3-5 hours per week. What a huge underestimate! I have been programming professionally since 1989. Other than week 1, every week requires closer to 8-10 hours at least. Stop advertising this as a beginning course, or restructure it such that it is more appropriate for beginners.",1.0,0,0,0,0,0.0,0,0,1
"Very interesting, well- explained, and practical course. Unfortunately you need the Excel 2013 professional to complete it and make the most of it.",0.0,0,0,1,0,0.0,0,0,0
"I love this course very very much... i think the lecturer, Maya Adam has done a very good job for making this subject interesting,... I also like the way she explains stuff... she makes it so easy understandable! I hope she will have more course to come.. will defintely enroll again! Please notify me if she has any new upcoming course!! Well done! =)",0.0,0,1,0,1,0.0,0,0,0
"enjoyed this, as well as finding out I dont know as much as what I thought i did",0.0,0,1,0,0,0.0,0,0,0
"The EEPROM project in week 3 is undoable with the specified simulator, as the simulator is simply not functional. I tested different computers, windows and mac operating systems, different browsers, different security settings, etc. Nothing works. The assignment is also way beyond the level of an introductory course. In addition, the complete lack of discussion forums attached to the course suggests that it is preferable to shut off discussion than to address the problems. Speaking of which, a search of the general forums indicate that this has been an ongoing issue since the latter half of 2015. Seriously, what the hell? Many people dont have a ton of extra money to throw away on garbage, and you are selling a defective product.",0.0,0,0,1,1,0.0,0,0,1
"As a ten year old Engineer, I recommend every engineer need carefully review at this.",0.0,0,0,0,0,0.0,0,0,1
This was my first time learning computer programming. I think the course is very friendly and clear. I liked the fact I could go to my own pace. Videos and book are very useful. I had learned the basis for python and I am very encourage to learn more in depth this language. Thank you very much to all the people behind this course. I really enjoyed it.,0.0,0,1,0,0,0.0,0,0,0
"Ngs practical approach addresses complex topics giving you the right intuitions and just enough to get you on track to actually go about doing useful things, and also showing enough of a map to get you to dig deeper in the right locations. Thanks Ng and the great mentors of course, especially Tom and Paul.",0.0,0,1,0,0,0.0,0,0,0
"Let me say that this is a great course and that I enjoyed it very much!My only problem is with the assignment that are, in my opinion, a bit limited and most of the time they focus on liner algebra implementations rather than give a better understanding of the algorithm.Most of the time the assignments focus on implementing a formula where the algorithm itself is already written for us.That is good as a first step but in the long run it doesnt give you some practical skills when you want to apply the algorithm to an external dataset.I would suggest to add some challenges (maybe ungraded) keggle style, like provided this dataset try to get a score better than a value. This will spark some discussion and it would help to apply the concepts and the practical tricks to a real (chewed) problem.",1.0,0,0,0,0,0.0,0,0,1
"I love how concise the lectures are, and also the quizzes provide explanations to questions Ive done wrong. Thats very helpful indeed. This is my first Coursera course with peer-review assignments - Im impressed that classmates give useful and encouraging feedbacks. I also learnt a lot from reading other peoples work.",0.0,0,1,0,0,1.0,0,0,0
nice lecture to know someting about the elctronics ...thanks...,0.0,0,0,0,0,0.0,0,0,1
Almost done with this course. It is already helping me understand how to learn. Very useful practical information. I hope that this course will be opened up as an on demand. I would love to share it with others. I think this is knowledge that everyone should acquire. Thank you for taking time to make this course and offer it for free.,0.0,0,1,0,0,0.0,0,0,0
"The later part of the sessions lacks practical applicability and it is more abstract, that I find difficult to relate",0.0,0,1,0,0,0.0,0,0,1
"There are two frustrations with this iteration of the series. One: the quiz questions are often opaquely worded. Instead of being tested on the material just learned, it seemed like the objective was to learn to decode test questions.2 and the most glaring omission, was that when students are asked to provide functions, only some are provided with a follow up test to ensure the function is working properly. If the output is syntactically correct but provides incorrect output then youre moving forward blindly after that. Then add the quiz questions from problem One above, and youre just wasting your time after that and building up frustration. Validating your code as you move along seems like a pretty rudimentary process to impart to students and when the teachers dont practice it themselves, there are bound to be problems.I like the intent of the course, and considering my outsider background to computer science, the mathematics etc, I did learn a fair bit. Not enough to justify the increasing frustration I was feeling toward the end of this course. I have no intention of taking any more at this point, not from these authors.",0.0,0,1,0,0,0.0,0,0,1
"If you dont speak Chinese its a terrible course...The lectures are recorded from lectures at university and the rhythm is very slow and not very well explained (at least the first week). The transcriptions into English are incomplete, so understand this course is very very complicated.I do not recommend it at all.",0.0,0,0,0,0,0.0,0,0,1
Exceptional course! I would have enjoyed several more weeks. Dr. Onufs style and methods in presenting the material made it possible to understand Jefferson in a way I have not understood him before. Wonderful teacher. Thank you.,0.0,0,1,0,0,0.0,0,0,0
"This is the only one course, I have paid for certificate. I liked most of the course. Instructor has a unique way of teaching Matlab. He started Matlab basics. After that, he had shown functions. The reason of showing functions at the very first times was to evaluate the problems. I am so surprised when I have seen the usage of column operator in such different ways. Course was followed by decision structures, loops, strings and file I/O. The course content was well prepared. Video lectures are quite helpful. Especially, 1 hour problem solving example video was so beneficial. However, at the end of the course, problems become quite challenging and time consuming. In first 6 problem set, my success rate was 100%. But, in last two weeks problems I was able to solve only 5 of 8. The problems become difficult to understand, there were not enough explanations or hints. Discussion pages were not useful some times. I had to make further research on internet to understand the problem and it was time consuming. In the new version of the course, it would be better if problems are clear to understand.In short, the Instructors and Mentors did great job. Do I suggest this course to anyone else? The answer is definitely YES! Thank you.",1.0,0,0,0,0,1.0,0,0,0
"There is absolutely no supervision on this course. My essay has been sitting in a student review cue for two months now - so, no completion of course and the program has the audacity to mark me as late submission. I have reviewed 7 papers (requirement of 3) and am shown as being deficient. It is as if I dropped into a void.I paid a decent amount of money to attend this course and very disappointed that it is simply run on auto pilot with no place to go for resolution, questions or help.I would NOT recommend taking this course and would better advise you to find something in another online teaching program or course within Coursera that has at least a modicum of personal interaction.",0.0,0,0,0,1,0.0,0,0,1
"Very useful course , I feel completely different after completing it . Thanks a lot !",0.0,0,1,0,0,0.0,0,0,0
It is a journey of ones own inner self as experienced throughout the years of compulsory education and later during the life-long studies. One gets to know oneself better and think about improvements s/he can make instantly. I downloaded the pomodoro timer to my Mac and realized its time to fight the zombies who help in retaining my bad habits of losing time web-browsing or using too much of the precious will power for trying to start learning anything.I will definitely stick to studying the optional material as I have time having finished a project of my life at work. I will miss both Barbara and Terrence and their fun way of teaching.,0.0,0,1,0,0,0.0,0,0,0
I really liked the structure of this course and the content was very clear and precise to understand. I want to thank all the professors that where involved in this lecture. I enjoyed every single one and it gave me an overview of the quality of the Masters programs offered by DTU Environment which Im looking forward to start next Autumn.,0.0,0,1,0,0,0.0,0,0,0
"The applications were too time consuming. Please consider adding a tool that makes graphing easier. The course itself was very good and engaging and without us knowing it, would teach core fundamentals of computing through the coding exercises.",1.0,0,0,0,0,0.0,0,0,0
"I wasnt being fair on my review, it was my mistake that I didnt see this is a part of a bigger course. I feel like it doesnt deserve 5 stars because the way the exercises were made didnt help me retain information. I feel like the students should do more.",0.0,0,0,0,0,0.0,0,0,1
"I agree with some of the reviews here. Its fantastic at the beginning of the course. Towards the end, unfortunately the professors accent is heavy and sometimes difficult to understand. The subtitles dont help either because they were auto-generated. My brain had to take extra cognitive workload to decipher what was actually said before trying to understand the materials on the slides and everything else. I also didnt like the way index 0 and 1 is mixed in different lectures. Why shouldnt we stay consistent in pseudocode using index starting with either 0 or 1? The slides are confusing regarding this matter especially when you translate algorithms into code.Nonetheless, I liked the assignments overall. The courses instructors included some of very interesting problems and indeed helped understand the lessons better. I also liked the course structure and the carefully prepared slides.",1.0,0,1,0,0,0.0,0,0,0
"Positive: Approach to the topics is solid, readings are very valuable.Negative: Some videos in week 3 and 4 have audio issues. Course should had a template with the course objectives, learning outcomes and grading scheme. 4 out of 6 quizzes didnt allow to see which questions were right or wrong. Social media resources such as a linkedin group for the specialization would add value. But the most negative aspect was not having the slides. A lot of the topics covered were presented very fast and not having the slides to review the materials made my experience in learning very frustrating. I note that also the course Critical Perspectives on Management had the same problems with the quizzes and also did not provide slides. what was somewhat frustrating also. Also, if IE is making an effort to become more relevant in this online space, it should allocate human resources to monitor and interact in the discussion forums. In my opinion there are a lot of opportunities to improve the student experience. What I found somewhat because being this a series of courses in marketing, a lot of these issues had to been fixed/addressed before the course started...Nonetheless my critics - which I expect to be considered as constructive critics, it is important to thank IE and Coursera for continuing providing online courses.I wish you luck.Ricardo J. Oliveira",1.0,0,0,1,0,0.0,0,0,0
Great. Tanks you.,0.0,0,0,0,0,0.0,0,0,1
"Poorly executed. Lost my interest very quickly. I thought that this course was going to be as enjoyable as Dr. Chucks Python for Everyone given that both instructors are from the same institution, and both courses belong to similarly named specializations, that is ...For Everyone, but I ended up disappointed. My suggestion for the instructor: redo your lecture slides or point out to all of the errors in the slides. It is not acceptable for you to just say that they contain errors and not point out where all of the errors in the slides are. You only pointed out to one error in the slides by the way. Also, I personally believe that it would have been much more interesting if you had not read off a screen for your lectures; try speaking off the top of your head.",1.0,0,0,0,0,0.0,0,0,1
First step toward becoming data scientist.,0.0,0,0,0,0,0.0,0,0,1
Excelent course!!! It makes you a better person because more conscious. It transform your way of understanding animal welfare. Thank you very much,0.0,0,1,0,0,0.0,0,0,0
"This is a great course due to the well designed and produced videos, peer feedback feature and structure of the course. However, I feel that the lack of input from CALARTS is the drawback. I have been in other courses in Coursera and have found the input from tutors really reassuring because I am getting expert feedback. If courses like this are to be continuously supported by Coursera clients/students, this kind of feedback is critical. If certificates achieved through Coursera are known to be only peer reviewed, such certificates will not carry weight and be recognised by other organisations/employers.",1.0,0,0,0,0,0.0,0,0,0
Very interesting but too many informations on a short course,0.0,0,0,0,0,0.0,0,0,1
"Andrew Ng is one of the best teachers out there, he made it a point to really make concepts sound simple enough for a layperson to understand, very simple explanation of concepts is what kept me going. I really liked this course.The support forums and Tim Mosher deserve a special mention - whenever I got stuck with my assignments I would look to the test scenarios available to test my coding, it really helped me to complete the course especially with the assignments.I will not say that I am a master of machine learning now, but I am definitely more equipped and with experience I will get much better using the skills and techniques that I learned in this course",0.0,0,1,0,0,1.0,0,0,0
"Great course! I definitely enjoyed watching every single video and doing my own side reasearch on things I wanted to learn a little bit more about. I did buy the book, but that is also something I didnt like about the course. It seemed like the courses sole purpose was to get us to buy the book. There were so many moments where it would have sufficed to expand or explain something a little further, instead of just giving us an inconclusive idea and then tell us to check the book. This made it look and feel more like an advertisement for the book. But despite all that, I learned a lot and it was a great topic and wonderfully prepared. You just have to ignore the book deal.",1.0,0,0,0,0,0.0,0,0,1
"Most of coursera courses I have taken I am not able to complete, it is easy to drop off, not feel engaged, not able to complete the assignments on time. This course had the perfect balance - it had structure easy to follow weeks schedule and quizes. It provided additional reading and articles if needed to dive deeper. It also was a well rounded course with theory, interviews of experienced people from the industry, videos on practical experiments and summarizes of researches done on the field. I would highly recommend this course to any friend and would look forward to completing more with the same professor in same related topic.",0.0,0,1,0,0,0.0,0,0,0
"Very well done course. Its very slow, so if youre looking for something akin to a full time college course, I would take this at either double or triple the pace the course recommends. Its geared towards people who have never developed or really looked at code at all, so if you have, youll be ahead of the pack. Overall, I enjoyed the course a lot. It definitely covered things from many angles and went through things slow enough for me me to process everything. That said, I was also able to increase the speed of the videos and complete a few weeks in one when I had the time. Fun class",0.0,0,1,0,0,0.0,0,0,0
Very engaging! Great course for someone with no prior programming experience (like myself). After taking this course I feel inspired to continue learning!,0.0,0,1,0,0,0.0,0,0,0
"Thank you so much for this course! It was a wonderful path! Hope, Ill finish all the courses for TESOL certificate and will communicate with mentors not only as guides in teaching, but with experienced colleguages! As well as with classmates, its great that we can create a network of ESL professionals! Thank you, Coursera!",0.0,0,1,0,0,1.0,0,0,0
This course was one of the toughest courses i pursued so far... I was expecting a lot from this course. from basic to advanced and more of fundamentals. this course should be floated as full specialization rather than as a part of other specialization.,0.0,0,1,0,0,0.0,0,0,1
"It was a lot more work than expected, especially alongside a full-time job, but the course kept getting more and more interesting. This high quality content combined with as great of a teacher as Andrew is makes for a very compelling learning experience. Im immensely grateful to him and the Coursera team for providing such a high class education for free. Thank you very much and keep it up!",0.0,0,1,0,0,0.0,0,0,0
"One of the best course, i have ever learnt. Even though i have been learning the Data Science for the last few years, i had no idea how the algorithms are working in technical. Which i was always skeptical. But honestly, now i am able to get things really faster than before. I am very happy, i have joined this course. Thank you so much for coursera to bring this course and importantly thank you so much for the professors to explain things in an easy for the people to understand. God bless you both and your family.",0.0,0,1,0,0,0.0,0,0,0
"Very interesting, as long as you do not undertake the course to become popular ! I learned a lot, but at the end of the course, I felt that the course was too much oriented on the problems that can arise for young people, especially if they are not popular. Good course anyway",0.0,0,1,0,0,0.0,0,0,1
"Good focus on ideas vs principles. The focus on relational algebra is a great way to look at data manipulation in general. Unfortunately, relational algebra is explained quite well, but not really applied after that. This could be a great course if it really taught to constantly think in terms of relational algebra.Okay-ish explanations of databases and hadoop. Not very deep and not always structured, but rather focused on the technology principles instead of the data principles.I think that this specialisation suffers the same problem most data science/mining/analytics courses suffer: it ignores the non-technical starting point: scientific or business relevance. How does one organise data, get to know completely new data, understand possible value? i.e. how to start a data science project if all there is is unorganised data and the wish to do something with it.",1.0,0,0,0,0,0.0,0,0,1
"I think this is the best course to start with programming especially with the professors from top universities. Programming in Scratch can build solid foundations of IT knowledge. I especially like explanations of professor from Edinburgh University, very clear and encouraging and with some flavor of Scottish humor.I really hope this would be my first step towards career in computer science, hopefully with Edinburgh University.",0.0,0,1,0,0,0.0,0,0,0
"This class was a great introduction to the topic of building a data science team.The material was practically oriented, cited a lot of relevant external sources (e.g., news articles about data science), and was easy to understand.The production quality was excellent - easy to listen to, ready to follow the slides, and the questions immediately followed each short segment.I would have preferred it if the Professor had gone through different examples of data scientist and data engineering resumes to show me what performers in each quintile look like and what signals distinguish members of each quintile from the higher or lower quintile. Apart from the signals, and interview questions used to elicit these signals, how would the ability levels be different.",1.0,0,0,0,0,0.0,0,0,0
"This course was highly enjoyable. I would like to thank Dr. Shiller for a great course presentation. Professor Shiller presents the material on Financial Markets from a very interesting historical perspective that gives a human personality to the world of finance. It is open enough for someone that has no background in finance but also gives treatment to some mathematical models that students who know the basics may also benefit from. It certainly taught me a lot about how financial markets work and the rationale behind how the industry has developed the way it has along with the regulation around it. I would suggest adding another lecture video on crowdfunding, JOBS Act, fintech etc. in the final week which will talk about some of the developments in the world of finance which are very relevant today. It will also tie in nicely with the concept of democratization of finance how we all can play a role in the finance industry. Highly recommended and well done!Regards, Zeeshan Shaikh",1.0,0,0,0,0,0.0,0,0,0
"Learned HTML5,CSS and JavaScript from many resources but this was innovative and updated course with such live examples like meeting with client and etc. I love this course. Yes we can say, here is the knowledge, Hats of to the Professor, he taught us well, Salute to you my HONORABLE/Respected Sir.. You are amazing.",0.0,0,1,0,0,0.0,0,0,0
"best math course ever, teached with so much passion and love",0.0,0,1,0,0,0.0,0,0,0
Good intro,0.0,0,0,0,0,0.0,0,0,1
recommended course covers all angular 1,0.0,0,0,0,0,0.0,0,0,1
"Very limited teaching and contradictory assignments. For those with English as a second language be aware this course uses grammatical terminology but in a stylistic way and can cause a lot of confusion. Assignments are weak but as a whole for the four courses making up the Capstone just grit your teeth and get through it, the least enjoyable and instructive of all four.",0.0,0,0,0,0,0.0,0,0,1
"This was my first programming course. I knew nothing about programming and Python. This course challenged me to absorb the information step by step. I feel confident, proud, and happy about my achievement. I would recommend this course to anyone thinking about changing their career or just learning a new skill. It is never too late to start specializing!",0.0,0,1,0,0,0.0,0,0,0
"The course has a fundamental problem, it relies completely on a library developed by one of the instructors, which is not open source. In the end, it seems like a big opportunity of delivering a marketing campaign by the instructors then otherwise.I definitely will not spend time and money on the other courses of this specialization.",0.0,0,0,0,0,0.0,0,0,1
"This has been an amazing course for me. It really enriched my understanding about modern art, and it introduced me to so many pieces of work and artists that I did not previously know about. I absolutely loved the videos and visuals, and the input of people who actually work MoMA. It also made me see abstract and surreal art in a different light. While previously I would have shrugged off abstract and surreal art as being too esoteric for its own good, I was able to understand the concept of surrealism a lot better through this course. I also really appreciated the reading materials for this course, and how precise yet detailed they were. Doing this course has helped me have a multifaceted view of different kinds of art, and I am incredibly grateful for having had this opportunity.",0.0,0,1,0,0,0.0,0,0,0
Full Individuals speaking,0.0,0,0,0,0,0.0,0,0,1
"The instructor should spend more time putting equations and concepts into concept, and tying them together. It often felt like values and questions were arbitrary. This is less about master data analysis in Excel, and more about gaining ground in a few key concepts, so the title is misleading as well.",0.0,0,0,0,0,0.0,0,0,1
"The course is very nicely done and well organized. The fundamental organization around sources of learning and the progression of lessons are well done and strongly support knowledge building. Some of the speakers have verbal patterns or flows of speaking that can be a bit distracting, but they are all interesting and informative. I like that you can also download transcripts. I am a very visual learner whose mind tends to wander off when faced with a talking head. Having the transcript to follow as I listen allowed me to highlight and make notes while listening, ensuring greater attention to the content. Ultimately, I made the decision to not finish the course. Not because the course was not well done but because it doesnt align with my own interests in systems thinking and complexity. It is a good course and well worth engaging in, even if you discover, as I did, that it doesnt quite match ones learning needs. I do recommend it if you are interested in cosmology and theories related to the origins of the universe.",0.0,0,1,0,0,0.0,0,0,0
I was very enjoyed participating this course.,0.0,0,1,0,0,0.0,0,0,0
Did not like that I have to upgrade just to take a quiz,0.0,0,0,1,0,0.0,0,0,1
"the course is very interesting, but the questions in tests are a bit too detailed and thus, too difficult; overall, during the course I learned a lot of new things, discovered new possibilites behind the gut flora and deepened my overall knowledge; if only the certificates were a bit cheaper...",1.0,0,1,0,0,0.0,0,0,0
"Although I’m not really a gamer, I took the first session of this course since I was studying art and computer science in school, and I thought this course would give me some insights as to what decisions people make when they design a computer game based on a well-known existing story, and as to how art and technology are integrated into the overall game design. It certainly did! And I found it so engrossing that I’ve continued to play LOTRO ever since.",0.0,0,1,0,0,0.0,0,0,0
"A pretty nifty course for game design. I loved getting to work on the documentation planning for the game I was creating. Simple and easy to follow. Some of the quiz questions were a bit tricky as I had spent more time than I though I would, going back to the lectures to review the questions.",0.0,0,1,0,0,0.0,0,0,0
"Content is very interesting, nice introduction to Big Data.Slides can be improved though.",1.0,0,0,0,0,0.0,0,0,0
"The vast majority of reviews for this course are glowing. Well done!Coming from a non medical background I found this course very challenging. I hardly used any of the suggested readings or references as I found them too technical. I had to start at a more basic (high school) level and work my way up. After many hours of work, many failed first attempts and countless hours of eating comfort food, I eventually reached week 13. Did I feel ready for the final exams? I suppose it doesnt matter because I did pass and received my certificate.",0.0,0,1,0,0,0.0,0,0,1
The teaching quality is very average and mediocre at best.The assignments are merely implementation of lectures .The Stanford and Princeton courses on Algorithms are better courses to take for one to pursue a serious study of Algorithms.,0.0,0,0,0,0,0.0,1,1,1
Useful tips for writing.,0.0,0,0,0,0,0.0,0,0,1
Wonderful course.I took it just to satisfy my curiosity. I really enjoyed listening to the lectures and doing the quizzes. Many thanks to the professor for taking the time to make it.I would be happy to see a more advanced version.,0.0,0,1,0,0,0.0,0,0,0
"I felt the initial splash screen was a bit time consuming, also lot of the knowledge felt like more bookish. Could have been different styles of management and approaches or even how leaders in the past like Dale Carneige would have approached. This course has a lot of potential and I feel revising the next version would make it so much better for novice program managers",1.0,0,0,0,0,0.0,0,0,1
"Compared to other courses in the creative writing specialization, I felt that this one needs some improvement. The video lectures just didnt have enough meat to them. For example, in other courses in the specialization, there will be links to optional readings or videos, leading to a deeper understanding of the concepts. Some readings, for example, would be welcome to give example of great (or even not so great) characterization.",1.0,0,0,0,0,0.0,1,0,1
"Great course, but the quizzes are not quite there yet. They focus too much on minor details and the questions are sometimes awkwardly phrased.",0.0,0,0,0,0,0.0,0,0,1
"Im here learning Excel skills, but this course, especially week 2, does not teach Excel skills.",0.0,0,0,0,0,0.0,0,0,1
"There are some inconsistencies in the course or the arrangement of the videos, maybe due to technical problems.For improvement I would really wish to have some substantial results, especially in the last week of the course. That is, I would prefer to discuss at least something in depth rather than everything broadly.",1.0,0,0,1,0,0.0,0,0,1
It really just touches a lot on different machine learning techniques and really just sets the stage for the higher courses. Unfortunately some of the chapters (especially deep learning) are so brief that it is really frustrating trying to complete the quiz and assignment. Also the course doesnt use open source tools but a trial version of a pretty expensive library.,1.0,0,0,0,0,0.0,0,0,1
It was really an honor to have this course under your guidance. Thanks a lot for guidance and assistance.,0.0,0,1,0,0,0.0,0,0,0
I struggled so hard! No way near the same level as the other courses.Came from Computer science background and felt that I missed so many terms and concepts that were required for this course,0.0,0,1,0,0,0.0,0,0,1
"handy tool to pull out data and analysis, but the learner themselves need to practice m",0.0,0,0,0,0,0.0,0,0,1
"The course is fine as far as content. My complaint is that there is no one to contact regarding papers or questions. You are left to the other students for your grading and assignment completion, meaning that some of your assignments can hang there for weeks before ever getting reviewed.",0.0,0,0,0,1,1.0,0,0,1
"This course is a total disappointment in comparison with all the other courses from this specialization.The quality of the course is very poor:- reading links are outdated and not available;- assignments are superficial;- tests consist of questions which do not make you think but make you memorize unnecessary numbers;- lectures are presented poorly. They are read from the screen and you feel that attitude. Very often they include videos from reading.The course feels like an outdated or a class for mentally defective: read about it, then well repeat the same in the lectures, then youll pass the test with the same kind of questions, then well ask you to make an assignment, answering the question that has already been discussed three times once again. Do not bother to think, just repeat, because thats what necessary.I struggled to finish this course only because of the whole specialization and a great job which has been done by all the other professors.",0.0,0,0,0,0,0.0,0,0,1
ThankIll study hard as a can!!,0.0,0,0,0,0,0.0,0,0,1
Contributions of the professor in the discussions is wonderful,0.0,0,0,0,0,1.0,0,0,0
An excellent intro to financial markets. The course covers a lot of ground on history and technical aspects of the markets and the features within them. Professor Schiller is a world leader in the subject and youll be surprised and confident in his class when you start noticing his name appear in everyday life. I see his name in news articles and his work is referenced fairly regularly when Im reading about economics and business.,0.0,0,1,0,0,0.0,0,0,0
"Interesting introduction course for people who want to learn Python. You dont need programming skills (though they always come in handy), because the course starts at the very beginning. I guess this helps everybody to easily adapt to the language, which itself in my opinion is pretty straight forward and quite easy to learn. Im really looking forward to the more tricky and complex parts in the other courses of this specialization.",0.0,0,1,0,0,0.0,0,0,0
It gets more and more fun,0.0,0,0,0,0,0.0,0,0,1
"My previous review is : This course teaches NOTHING about JAVA! Does not worth the money and time!After I learned more about coding I realized I was wrong that it is very important to understand HTML, CSS and JS before learning Java. The only thing is that I wish this course teaches more algorithm.",0.0,0,0,0,0,0.0,0,0,1
"huge waste of time, they will give you very little information and what is expected for you to be able to do with that information is astronomical, you will never learn any of the details of how computing works, how functions work, the mechanism behind these computations, or anything. To give you an example, you will first watch a horribly made video on boolean logic, alter going to youtube to get a better explanation of And, or , and not, youll see an example done with If, else, and elif, then be asked to do homework problems using and, or, not. This huge gap between the information given, and the information you are expected to know to solve the problems they give you is too large, I found differential equations easier than this",0.0,0,0,0,0,0.0,0,0,1
"A bit of a mess. If you are going in expecting to learn nuances of creating effective wireframes and mockups, you will be disappointed. Assignments are good and thought-provoking, but not clearly written. You will get out of the course what you invest in it. Take your assignments seriously and invest a lot of time, even if you know that you are able to pass with a lesser effort.",0.0,0,0,0,0,0.0,0,0,1
"This was a great course because I like a good challenge; it was way more difficult than I had previously anticipated. The course shined a light on some things that I normally wouldnt give much thought to, and as someone who currently holds a position at a company that is in the F&B industry, it was quite inspiring, to say the least.",0.0,0,1,0,0,0.0,0,0,0
"I thoroughly enjoyed listen to professor Severances lectures, it made learning the first basics of python less daunting to someone with zero background in programming like me; solving the course assignments gave me a sense of achievement, even though I know real programming takes much much more than this; I feel motivated to start the second course:)",0.0,0,1,0,0,0.0,0,0,0
"How interactive and amazing course is this!!!! i am completely astonish there materials and presentation deliberate process also video edit. It was mind blowing course.This course give me much more than my expectation. why i give 5 star, why not!? if it is possible to rate more than 5 , definitely i give them best. I highly recommend everyone , do not waste your time to learn applying ineffective process. Learn Best tips and technique from this course. I want to mention one of the important point in this course that ,this courses mentor and fellow learner are always active for answering your all questions. And also give thanks to coursera because they make this great platform.",0.0,0,0,0,0,1.0,0,0,0
"I give 5 stars to this course because the materials of this course are very basic but very important, Such as Verb tense and Punctuation which I did not full understand in the past. But now, after finishing this course, I am more confidant about my writing. Thanks to the teacher and my classmates, you help me a lot !!",0.0,0,1,0,0,1.0,0,0,0
"Dear organizers, teacher and colleagues.It was very pleasure for me to study this course. I like this course very much because the teacher explains the difficult economic process very easy. If you have questions you can discuss it.It was a very interesting course.Thank you very much for this course.With best regards,Maryna Stegniienko.",0.0,0,1,0,0,0.0,0,0,0
"Really really great course. Went to machine learning meetup where this course was constantly mentioned, so I decided to do it. Very happy I did. As a senior developer, I can now have a conversation with the data guys, and can even bring some ideas to the table.The way Andrew Ng teaches is also awesome: he has slides on which he draws with a pen which keep things interesting and make things easy to understand. The Matlab/Octave practical provides extra insight in the course material and is very well set up.",0.0,0,1,0,0,0.0,0,0,0
"Very interesting intermediate course in Econometrics. I strongly recommend for both new learners and those are interested in refreshing their knowledge in econometrics.Maybe some blocks are too theoretical, there are some bugs in the content, and I miss a bit more of applied econometrics using statistical softwares.Definetly a very good example of teaching econometrics through MOOC, my heartfelt congratulations to the Econometrics team of the Erasmus University for the great job, it has been a really valuable course to attend.",1.0,0,0,1,0,0.0,0,0,0
"Honestly, this was such a great course. 11 weeks ago I knew very little about machine learning ( mostly just buzz words like neural networks, deep learning and so no). Andrew was a very good teacher, taking time to explain fundamentals of linear regression, logistic regression, neural networks, support vector machines, case studies and more. It takes time to complete it, but its a time spent well.",0.0,0,1,0,0,0.0,0,0,0
"A good introduction, but it would be nice to learn a little more about written Chinese and some basic grammar. Also, like all on-line courses, this one tests how good the student is at listening, but not how good they are at speaking. You can get high marks but still be unable to utter a single word or read any Kanji characters.",1.0,0,0,0,0,0.0,0,0,1
Course content was pretty detailed. I did not like that I had to write down pretty much every single word from each slide and that was said in order to make sure I could answer the quiz questions. Either the quiz questions were bad or it was taught in a confusing manner. I would go with the former.,1.0,0,0,0,0,0.0,0,0,1
"Very steep learning curve switching from the videos and lectures to the final assignment. But enjoyed the challenge. Relevant links to learn specific topics on the tool would have been helpful. Interesting data sets to work with (Salary & Dognition) and challenging problem statement. If the intention is to learn Tableau as a tool then I would not recommend this course. Part of my expectation was this also, hence only 4 stars.",1.0,0,1,0,0,0.0,0,0,1
